entity,year,health_expenditure_per_capita_-_total
Slovenia,2009,2566.892
Slovenia,2010,2532.062
Slovenia,2011,2527.932
Slovenia,2012,2488.64
Slovenia,2013,2468.484
Slovenia,2014,2487.394
Slovenia,2015,2579.281
Slovenia,2016,2666.919
Slovenia,2017,2689.308
Slovenia,2018,2832.163
Slovenia,2019,3001.683
Slovenia,2020,3187.211
Slovenia,2021,3414.018
Slovenia,2022,3286.08
South Africa,2011,1136.278
South Africa,2012,1139.604
South Africa,2013,1160.833
South Africa,2014,1121.941
South Africa,2015,1151.605
South Africa,2016,1151.063
South Africa,2017,1140.722
South Africa,2018,1151.69
South Africa,2019,1168.778
South Africa,2020,1148.156
South Korea,1970,94.156
South Korea,1971,85.804
South Korea,1972,83.559
South Korea,1973,81.419
South Korea,1974,73.922
South Korea,1975,113.041
South Korea,1976,128.365
South Korea,1977,132.665
South Korea,1978,157.672
South Korea,1979,217.924
South Korea,1980,225.111
South Korea,1981,242.478
South Korea,1982,256.752
South Korea,1983,279.962
South Korea,1984,292.032
South Korea,1985,314.237
South Korea,1986,340.444
South Korea,1987,371.359
South Korea,1988,432.556
South Korea,1989,522.811
South Korea,1990,562.628
South Korea,1991,577.186
South Korea,1992,621.313
South Korea,1993,640.547
South Korea,1994,647.107
South Korea,1995,704.768
South Korea,1996,782.284
South Korea,1997,791.303
South Korea,1998,769.312
South Korea,1999,862.649
South Korea,2000,906.454
South Korea,2001,1033.958
South Korea,2002,1032.032
South Korea,2003,1128.535
South Korea,2004,1172.624
South Korea,2005,1282.878
South Korea,2006,1408.354
South Korea,2007,1522.259
South Korea,2008,1619.579
South Korea,2009,1772.205
South Korea,2010,1947.717
South Korea,2011,1991.796
South Korea,2012,2054.887
South Korea,2013,2151.355
South Korea,2014,2293.278
South Korea,2015,2465.926
South Korea,2016,2656.41
South Korea,2017,2810.438
South Korea,2018,3031.268
South Korea,2019,3316.783
South Korea,2020,3372.837
South Korea,2021,3944.446
South Korea,2022,4223.628
Spain,1970,465.075
Spain,1971,547.559
Spain,1972,621.507
Spain,1973,650.254
Spain,1974,729.383
Spain,1975,762.122
Spain,1976,864.689
Spain,1977,923.914
Spain,1978,946.408
Spain,1979,931.861
Spain,1980,936.76
Spain,1981,938.647
Spain,1982,958.214
Spain,1983,993.738
Spain,1984,975.956
Spain,1985,976.383
Spain,1986,1012.9
Spain,1987,1085.072
Spain,1988,1276.736
Spain,1989,1367.496
Spain,1990,1508.123
Spain,1991,1594.648
Spain,1992,1692.904
Spain,1993,1733.283
Spain,1994,1737.098
Spain,1995,1820.082
Spain,1996,1875.293
Spain,1997,1902.499
Spain,1998,1980.995
Spain,1999,2072.246
Spain,2000,2122.535
Spain,2001,2193.464
Spain,2002,2259.606
Spain,2003,2559.89
Spain,2004,2637.894
Spain,2005,2734.973
Spain,2006,2847.554
Spain,2007,2932.442
Spain,2008,3043.115
Spain,2009,3175.834
Spain,2010,3130.52
Spain,2011,3054.155
Spain,2012,2914.989
Spain,2013,2840.593
Spain,2014,2883.152
Spain,2015,3019.529
Spain,2016,3053.918
Spain,2017,3130.828
Spain,2018,3197.016
Spain,2019,3296.513
Spain,2020,3450.01
Spain,2021,3641.873
Spain,2022,3632.969
Sweden,1970,1396.88
Sweden,1971,1504.548
Sweden,1972,1569.034
Sweden,1973,1613.588
Sweden,1974,1712.872
Sweden,1975,1888.095
Sweden,1976,1997.921
Sweden,1977,2171.047
Sweden,1978,2174.853
Sweden,1979,2221.426
Sweden,1980,2333.211
Sweden,1981,2301.661
Sweden,1982,2309.27
Sweden,1983,2299.217
Sweden,1984,2337.211
Sweden,1985,2252.787
Sweden,1986,2271.086
Sweden,1987,2353.482
Sweden,1988,2389.478
Sweden,1989,2481.663
Sweden,1990,2504.186
Sweden,1991,2406.023
Sweden,1992,2431.203
Sweden,1993,2348.935
Sweden,1994,2295.383
Sweden,1995,2359.68
Sweden,1996,2441.378
Sweden,1997,2440.764
Sweden,1998,2574.817
Sweden,1999,2667.798
Sweden,2000,2790.724
Sweden,2001,3033.381
Sweden,2002,3179.618
Sweden,2003,3245.695
Sweden,2004,3274.567
Sweden,2005,3342.849
Sweden,2006,3443.949
Sweden,2007,3534.601
Sweden,2008,3592.131
Sweden,2009,3667.61
Sweden,2010,3639.65
Sweden,2011,4632.172
Sweden,2012,4702.303
Sweden,2013,4777.724
Sweden,2014,4880.42
Sweden,2015,5004.13
Sweden,2016,5070.4
Sweden,2017,5091.078
Sweden,2018,5177.359
Sweden,2019,5184.229
Sweden,2020,5255.061
Sweden,2021,5506.738
Sweden,2022,5309.833
Switzerland,1970,1726.937
Switzerland,1971,1906.257
Switzerland,1972,1978.823
Switzerland,1973,2037.071
Switzerland,1974,2134.416
Switzerland,1975,2266.888
Switzerland,1976,2337.908
Switzerland,1977,2379.832
Switzerland,1978,2464.558
Switzerland,1979,2497.587
Switzerland,1980,2569.975
Switzerland,1981,2622.243
Switzerland,1982,2664.427
Switzerland,1983,2790.602
Switzerland,1984,2789.463
Switzerland,1985,3078.976
Switzerland,1986,3242.403
Switzerland,1987,3374.45
Switzerland,1988,3507.47
Switzerland,1989,3650.721
Switzerland,1990,3698.325
Switzerland,1991,3907.845
Switzerland,1992,3965.16
Switzerland,1993,3960.514
Switzerland,1994,4087.913
Switzerland,1995,3979.623
Switzerland,1996,4117.326
Switzerland,1997,4167.08
Switzerland,1998,4323.113
Switzerland,1999,4431.358
Switzerland,2000,4543.22
Switzerland,2001,4769.968
Switzerland,2002,4944.481
Switzerland,2003,5035.696
Switzerland,2004,5172.537
Switzerland,2005,5191.861
Switzerland,2006,5151.272
Switzerland,2007,5256.996
Switzerland,2008,5375.368
Switzerland,2009,5561.899
Switzerland,2010,5563.512
Switzerland,2011,5678.678
Switzerland,2012,5779.036
Switzerland,2013,5962.55
Switzerland,2014,6029.355
Switzerland,2015,6258.916
Switzerland,2016,6408.625
Switzerland,2017,6396.715
Switzerland,2018,6345.23
Switzerland,2019,6548.326
Switzerland,2020,6705.251
Switzerland,2021,7020.862
Switzerland,2022,6927.356
Turkey,1975,186.409
Turkey,1976,165.256
Turkey,1977,219.9
Turkey,1978,234.44
Turkey,1979,230.99
Turkey,1980,224.133
Turkey,1981,255.898
Turkey,1982,214.683
Turkey,1983,226.808
Turkey,1984,225.477
Turkey,1985,165.606
Turkey,1986,223.331
Turkey,1987,223.362
Turkey,1988,259.654
Turkey,1989,266.808
Turkey,1990,302.997
Turkey,1991,336.89
Turkey,1992,341.535
Turkey,1993,359.242
Turkey,1994,320.721
Turkey,1995,306.849
Turkey,1996,395.516
Turkey,1997,448.202
Turkey,1998,499.599
Turkey,1999,604.858
Turkey,2000,651.767
Turkey,2001,673.833
Turkey,2002,726.726
Turkey,2003,748.981
Turkey,2004,806.033
Turkey,2005,853.959
Turkey,2006,943.153
Turkey,2007,991.401
Turkey,2008,994.128
Turkey,2009,985.811
Turkey,2010,965.312
Turkey,2011,987.092
Turkey,2012,971.765
Turkey,2013,1025.461
Turkey,2014,1046.599
Turkey,2015,1040.108
Turkey,2016,1117.572
Turkey,2017,1155.621
Turkey,2018,1178.464
Turkey,2019,1229.871
Turkey,2020,1335.144
Turkey,2021,1549.98
Turkey,2022,1653.348
United Kingdom,1970,609.489
United Kingdom,1971,630.541
United Kingdom,1972,669.59
United Kingdom,1973,697.534
United Kingdom,1974,767.818
United Kingdom,1975,811.758
United Kingdom,1976,834.505
United Kingdom,1977,835.515
United Kingdom,1978,875.17
United Kingdom,1979,898.188
United Kingdom,1980,957.597
United Kingdom,1981,989.966
United Kingdom,1982,968.471
United Kingdom,1983,1039.724
United Kingdom,1984,1039.341
United Kingdom,1985,1057.599
United Kingdom,1986,1088.991
United Kingdom,1987,1157.442
United Kingdom,1988,1207.964
United Kingdom,1989,1243.553
United Kingdom,1990,1259.373
United Kingdom,1991,1311.223
United Kingdom,1992,1409.1
United Kingdom,1993,1470.658
United Kingdom,1994,1531.474
United Kingdom,1995,1549.741
United Kingdom,1996,1578.592
United Kingdom,1997,1999.844
United Kingdom,1998,2092.227
United Kingdom,1999,2203.37
United Kingdom,2000,2315.664
United Kingdom,2001,2479.73
United Kingdom,2002,2671.792
United Kingdom,2003,2817.149
United Kingdom,2004,2972.583
United Kingdom,2005,3069.162
United Kingdom,2006,3158.371
United Kingdom,2007,3300.055
United Kingdom,2008,3349.489
United Kingdom,2009,3473.197
United Kingdom,2010,3515.102
United Kingdom,2011,3492.072
United Kingdom,2012,3551.593
United Kingdom,2013,3628.428
United Kingdom,2014,3720.638
United Kingdom,2015,3794.577
United Kingdom,2016,3841.793
United Kingdom,2017,3870.447
United Kingdom,2018,3963.948
United Kingdom,2019,4104.451
United Kingdom,2020,4443.973
United Kingdom,2021,4826.027
United Kingdom,2022,4551.586
United States,1970,1666.08
United States,1971,1744.019
United States,1972,1865.435
United States,1973,1956.857
United States,1974,2003.167
United States,1975,2093.309
United States,1976,2259.778
United States,1977,2411.792
United States,1978,2513.221
United States,1979,2593.629
United States,1980,2671.319
United States,1981,2817.805
United States,1982,2976.594
United States,1983,3117.887
United States,1984,3286.207
United States,1985,3461.278
United States,1986,3605.096
United States,1987,3734.301
United States,1988,3995.55
United States,1989,4225.526
United States,1990,4478.595
United States,1991,4678.896
United States,1992,4864.854
United States,1993,5030.545
United States,1994,5144.995
United States,1995,5264.967
United States,1996,5370.393
United States,1997,5497.475
United States,1998,5681.1
United States,1999,5862.692
United States,2000,6079.524
United States,2001,6412.631
United States,2002,6877.728
United States,2003,7246.686
United States,2004,7484.33
United States,2005,7696.982
United States,2006,7915.234
United States,2007,8110.043
United States,2008,8105.268
United States,2009,8415.489
United States,2010,8506.66
United States,2011,8505.433
United States,2012,8629.069
United States,2013,8675.903
United States,2014,8949.265
United States,2015,9360.496
United States,2016,9634.001
United States,2017,9769.038
United States,2018,9933.547
United States,2019,10168.64
United States,2020,11031.29
United States,2021,10837.454
United States,2022,10331.449
